Research_paper,Question,Models,answer_relevancy,faithfulness,answer_correctness
1,1,gpt-4.1-nano,,,
1,1,gpt-4.1-mini,,,
1,1,gpt-4.1,,,
1,2,gpt-4.1-nano,,,
1,2,gpt-4.1-mini,,,
1,2,gpt-4.1,,,
1,3,gpt-4.1-nano,,,
1,3,gpt-4.1-mini,,,
1,3,gpt-4.1,,,
2,1,gpt-4.1-nano,0.8145236290349241,0.9615384615384616,0.2119092343477541
2,1,gpt-4.1-mini,0.8369135413295634,0.875,0.21004309403792898
2,1,gpt-4.1,0.8531057759087235,0.6470588235294118,0.20776448922320828
2,2,gpt-4.1-nano,0.8677173588382956,0.9545454545454546,0.6508392520815316
2,2,gpt-4.1-mini,0.9722350001938497,0.64,0.26886010703624064
2,2,gpt-4.1,0.9865474699235526,0.4166666666666667,0.31584153172499047
2,3,gpt-4.1-nano,0.9245831014816844,1.0,0.8231398938229255
2,3,gpt-4.1-mini,0.9989462071746642,0.8666666666666667,0.6757415743481406
2,3,gpt-4.1,0.9634607368778453,0.5,0.45145131818529594
